Celsius, Fahrenheit, Humidity
14.4,57.92,71.923565721953
12.8,55.04,79.811182429167
11.7,53.06,79.654510078888
10.6,51.08,85.680481185637
10.0,50.0,89.181204957654
9.4,48.92,89.741574390528
9.4,48.92,86.141284587185
8.9,48.02,89.091584214285
8.9,48.02,89.091584214285
8.9,48.02,92.815182297916
8.3,46.94,96.659876800572
8.3,46.94,92.782035663943
8.3,46.94,92.782035663943
7.8,46.04,95.988158411757
7.0,44.6,100.0
7.0,44.6,100.0
7.0,44.6,100.0
7.2,44.96,100.0
8.0,46.4,100.0
8.0,46.4,100.0
8.9,48.02,92.815182297916
11.1,51.98,86.313549377715
12.8,55.04,79.811182429167
14.4,57.92,74.8764630203
15.6,60.08,66.579992947826
16.1,60.980000000000004,75.162754589756
16.1,60.980000000000004,72.237265552403
15.6,60.08,74.582928368531
13.9,57.02,80.500571981251
12.8,55.04,79.811182429167
12.2,53.96,83.015085466252
11.7,53.06,82.954048467221
10.6,51.08,85.680481185637
10.0,50.0,89.181204957654
10.0,50.0,89.181204957654
9.4,48.92,89.741574390528
8.9,48.02,92.815182297916
8.9,48.02,96.022450441781
8.9,48.02,96.022450441781
8.9,48.02,96.022450441781
9.0,48.2,93.453994643448
9.4,48.92,92.842632704448
9.4,48.92,92.842632704448
9.4,48.92,92.842632704448
9.0,48.2,100.0
10.0,50.0,93.504015298216
10.0,50.0,89.181204957654
10.0,50.0,93.504015298216
10.0,50.0,92.875368778185
10.6,51.08,92.285708289197
11.0,51.8,87.476252351683
10.0,50.0,93.504015298216
11.0,51.8,87.476252351683
10.6,51.08,92.285708289197
11.0,51.8,87.476252351683
11.1,51.98,89.269748995158
11.0,51.8,87.476252351683
11.0,51.8,93.553471551667
11.1,51.98,89.269748995158
11.0,51.8,87.476252351683
10.6,51.08,92.285708289197
11.0,51.8,87.476252351683
11.0,51.8,87.476252351683
11.0,51.8,87.476252351683
11.1,51.98,86.313549377715
12.0,53.6,81.879846925107
11.1,51.98,82.880385175758
11.0,51.8,81.750052187031
11.7,53.06,79.654510078888
12.0,53.6,76.519987759453
11.7,53.06,79.654510078888
11.7,53.06,76.993951308353
10.6,51.08,79.496094610696
9.4,48.92,79.870781661168
9.0,48.2,81.486420017859
8.9,48.02,86.090017231195
8.3,46.94,86.028130972357
8.3,46.94,86.028130972357
7.2,44.96,92.720676321386
7.2,44.96,92.720676321386
7.8,46.04,92.7542403083
7.8,46.04,92.7542403083
7.0,44.6,93.352225938757
6.0,42.8,100.0
6.7,44.06,95.953424201417
7.2,44.96,96.63091973326
7.2,44.96,96.63091973326
8.0,46.4,93.403401079213
7.8,46.04,92.7542403083
8.0,46.4,93.403401079213
8.0,46.4,93.403401079213
8.3,46.94,92.782035663943
8.9,48.02,92.815182297916
9.0,48.2,93.453994643448
,,
10.6,51.08,82.818647556175
11.7,53.06,76.993951308353
13.3,55.94,66.541382376326
13.0,55.4,71.661522629146
14.4,57.92,64.545340236686
15.0,59.0,59.604608806527
15.0,59.0,59.604608806527
14.4,57.92,59.868539990946
13.9,57.02,61.838774319798
13.3,55.94,66.541382376326
12.2,53.96,71.510261021778
11.7,53.06,73.905075949333
,,
11.1,51.98,74.307349532131
11.0,51.8,76.357329126718
10.6,51.08,73.709316572126
9.4,48.92,77.156442416889
